match_id,posting_id,skill_name,skill_category,match_strength
M-00001,P-00001,Python,languages,0.98
M-00002,P-00001,Airflow,data_engineering,0.94
M-00003,P-00001,Snowflake,data_engineering,0.91
M-00004,P-00001,dbt,data_engineering,0.88
M-00005,P-00002,SQL,languages,0.99
M-00006,P-00002,dbt,data_engineering,0.96
M-00007,P-00002,Looker,visualization,0.74
M-00008,P-00003,PyTorch,ml,0.98
M-00009,P-00003,LLM,llm,0.99
M-00010,P-00003,RAG,llm,0.97
M-00011,P-00004,Databricks,data_engineering,0.96
M-00012,P-00004,dbt,data_engineering,0.92
M-00013,P-00004,Python,languages,0.94
M-00014,P-00005,SQL,languages,0.97
M-00015,P-00005,Airflow,data_engineering,0.93
M-00016,P-00005,dbt,data_engineering,0.95
M-00017,P-00005,Terraform,infra,0.90
M-00018,P-00005,Snowflake,data_engineering,0.91
M-00019,P-00008,LLM,llm,0.98
M-00020,P-00008,NLP,ml,0.95
M-00021,P-00009,dbt,data_engineering,0.99
M-00022,P-00009,Snowflake,data_engineering,0.92
M-00023,P-00010,Python,languages,0.93
M-00024,P-00010,ML,ml,0.89
M-00025,P-00011,Plotly,visualization,0.97
M-00026,P-00011,Streamlit,visualization,0.94
M-00027,P-00012,LLM,llm,0.98
M-00028,P-00012,RAG,llm,0.94
M-00029,P-00013,SQL,languages,0.97
M-00030,P-00013,Python,languages,0.93
M-00031,P-00016,Python,languages,0.91
M-00032,P-00016,Geospatial,data_engineering,0.85
M-00033,P-00017,Python,languages,0.94
M-00034,P-00017,Azure,cloud,0.86
M-00035,P-00018,Spark,data_engineering,0.91
M-00036,P-00018,Scala,languages,0.84
M-00037,P-00019,PyTorch,ml,0.93
M-00038,P-00019,Kubernetes,infra,0.88
M-00039,P-00020,dbt,data_engineering,0.97
M-00040,P-00020,SQL,languages,0.96
M-00041,P-00021,SQL,languages,0.92
M-00042,P-00021,Python,languages,0.89
M-00043,P-00023,LLM,llm,0.96
M-00044,P-00023,Python,languages,0.91
M-00045,P-00024,Snowflake,data_engineering,0.97
M-00046,P-00024,dbt,data_engineering,0.95
M-00047,P-00026,Python,languages,0.94
M-00048,P-00026,Modal,infra,0.90
M-00049,P-00027,RAG,llm,0.98
M-00050,P-00027,LLM,llm,0.96
M-00051,P-00028,dbt,data_engineering,0.90
M-00052,P-00028,Snowflake,data_engineering,0.88
M-00053,P-00029,NLP,ml,0.81
M-00054,P-00029,Python,languages,0.78
